month,burn_tx_count,geod_burned,unique_signers
2024-09-01,3,7.0,1
2024-10-01,89,163283.557,47
2024-11-01,130,334083.002,98
2024-12-01,419,941542.650,78
2025-01-01,1533,2168426.209,79
2025-02-01,2880,1774606.487,99
2025-03-01,218,1174350.498,22
2025-04-01,181,1542242.238,26
2025-05-01,196,1038978.142,21
2025-06-01,192,899850.409,16
2025-07-01,190,952102.161,23
2025-08-01,548,1800320.763,519
2025-09-01,25,9.616,25
2025-10-01,29,176488.595,19
2025-11-01,41,244091.133,11
2025-12-01,795,503007.620,456
2026-01-01,629,69265.812,389
2026-02-01,480,1336932.467,248
2026-03-01,345,14425.967,178
