month,token_rewards_usd,data_revenue_usd,s2r_ratio
2025-01-01,416947.49,53461.98,0.8864
2025-02-01,4110472.67,91360.13,0.9783
2025-03-01,3987254.23,419772.47,0.9047
2025-04-01,4149572.00,527496.64,0.8872
2025-05-01,4993027.11,82563.30,0.9837
2025-06-01,3254850.12,1002440.19,0.7645
2025-07-01,3974406.23,86421.15,0.9787
2025-08-01,1914046.51,1292941.42,0.5968
2025-09-01,1628290.74,821915.45,0.6646
2025-10-01,1548325.98,2224417.80,0.4104
2025-11-01,1484840.37,1208362.45,0.5513
2025-12-01,1193156.52,1903183.70,0.3853
2026-01-01,915046.84,1009249.62,0.4755
2026-02-01,708970.92,1246795.18,0.3625
